"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL24",0,0.836471243921283,0.996,0.981,0
"DUSP1",0,-1.28575679020921,0.829,0.931,0
"RPL36",0,-0.430098727106479,0.997,0.995,0
"RPL35",0,-0.352743071796946,0.998,0.991,0
"RPL37",0,-0.543581046864667,0.998,0.996,0
"RPL27A",0,-0.594927454286877,0.996,0.988,0
"FOS",0,-1.58751781672405,0.794,0.93,0
"RPS21",0,-0.484146015913359,0.997,0.99,0
"RPL38",0,-0.67769711922619,0.995,0.987,0
"RPS27",0,-0.671254749537703,0.999,0.998,0
"RPL37A",0,-0.55214605424824,0.999,0.996,0
"RPS29",0,-0.868190943431935,0.996,0.996,0
"RPL41",0,-0.370464966513015,0.999,0.999,0
"RPS28",0,-0.519849766422311,0.999,0.996,0
"RPL36A",0,-0.514074415487184,0.992,0.98,0
"RPL39",1.36012110630426e-302,-0.34923878119228,0.998,0.994,4.58279205558156e-298
"MT-CO3",4.0100428894815e-271,0.570200673477214,0.994,0.995,1.3511438511819e-266
"FTL",1.02476020058675e-267,0.486979184153167,0.998,0.987,3.45282701985698e-263
"EEF1B2",3.71917445026751e-267,0.375162278846507,0.995,0.985,1.25313863927313e-262
"RPL34",8.21309210518361e-264,-0.305403825954354,1,0.996,2.76731925392057e-259
"HSP90AA1",5.15342732707389e-263,0.593285867674239,0.993,0.97,1.73639580358428e-258
"RPS10",3.52036632118493e-247,-0.300439168137052,0.996,0.986,1.18615222826005e-242
"RPL13A",4.62878398330036e-246,-0.256966590510026,0.998,0.995,1.55962247533322e-241
"RPL4",5.70935113798626e-241,0.365626785177382,0.996,0.983,1.92370877243309e-236
"HLA-A",4.84324247655158e-232,-0.671109960062531,0.973,0.98,1.63188212004929e-227
"IFITM1",1.80082380760127e-227,-0.656437336462378,0.06,0.358,6.06769573733173e-223
"RPL31",7.81767063279056e-216,-0.345860469601651,0.989,0.976,2.63408594301245e-211
"FOSB",7.6229341934004e-214,-0.906723710147411,0.772,0.897,2.56847144712433e-209
"CHCHD2",1.34930459161888e-213,0.422605523959635,0.988,0.938,4.54634689100066e-209
"HBB",7.11173069754754e-213,1.01006381147921,0.759,0.402,2.39622654123167e-208
"RPS19",9.99995851249045e-210,-0.303080069338248,0.998,0.997,3.36938602119853e-205
"RPS20",4.99274394866678e-209,-0.296386858427518,0.994,0.984,1.68225514606379e-204
"MT-ND5",2.83364783014922e-200,0.65107577030871,0.98,0.987,9.54769299890479e-196
"HLA-C",5.84872466001651e-198,-0.623232216508417,0.99,0.988,1.97066928694596e-193
"RPLP2",7.25752390690418e-197,-0.267469370854831,0.998,0.993,2.44535010519229e-192
"RPL17",7.71526826529544e-195,-0.42163919146365,0.969,0.94,2.59958248930865e-190
"RP11-160E2.6",4.72953070051476e-186,-0.884514144061431,0.481,0.702,1.59356807423144e-181
"ATG3",3.11943422936717e-185,0.548423518945068,0.627,0.32,1.05106216924297e-180
"HIST1H4C",9.76171721129803e-182,-0.645454897905355,0.888,0.922,3.28911299717476e-177
"TRMT10C",2.50655338092088e-180,0.420034947733975,0.664,0.357,8.4455809616748e-176
"RPS26",2.35967431240924e-179,-0.297343617228423,0.997,0.986,7.95068662823168e-175
"MT-ND4",2.08664312123513e-176,0.330464009291495,0.988,0.992,7.03073533268965e-172
"MIR181A1HG",2.23129526556383e-175,0.592027844430779,0.632,0.318,7.51812626779076e-171
"SOCS3",3.43160666632122e-170,-0.38353076462331,0.017,0.223,1.15624555015027e-165
"YBX1",1.22478504929757e-169,0.462947499093318,0.991,0.955,4.12679074510323e-165
"HLA-E",3.27379219979501e-165,-0.643106439145408,0.939,0.953,1.10307154379893e-160
"MT-CYB",4.88443205367581e-160,0.35004368426162,0.988,0.993,1.64576053616553e-155
"TPI1",2.13118529132932e-159,0.481753331955911,0.956,0.848,7.18081572060502e-155
"NME1",1.00159954476678e-158,0.527525272934715,0.862,0.678,3.3747895061372e-154
"ZFP36L2",1.27279651837379e-153,-0.553845536825262,0.973,0.97,4.28856058900864e-149
"JUNB",1.89846867706837e-145,-1.29627200606373,0.509,0.706,6.39670036051416e-141
"COX5A",1.33027671502346e-142,0.405806320969844,0.952,0.83,4.48223436360004e-138
"GIMAP7",1.82722263651549e-142,-0.723305477875364,0.036,0.233,6.15664395147529e-138
"CST3",1.77861616273445e-141,0.789381280810915,0.782,0.567,5.99286929871746e-137
"BTG1",1.09950708463997e-140,-1.06821842594539,0.76,0.851,3.70467917098592e-136
"H2AFZ",4.93857273912586e-140,0.611802200208374,0.954,0.859,1.66400269872107e-135
"H3F3B",6.70144682588519e-140,0.5546934379916,0.996,0.986,2.25798549351376e-135
"MGST1",2.27420814505082e-139,0.58744015936735,0.879,0.65,7.66271692393422e-135
"DLK1",1.66103251109592e-138,0.508199137388536,0.481,0.193,5.59668294288661e-134
"CYTL1",2.52092686528407e-137,0.53469312400323,0.906,0.698,8.49401097988814e-133
"NDUFS5",7.51263468210592e-137,0.428670471569203,0.964,0.891,2.53130712978877e-132
"MT-CO2",1.29362368319047e-136,0.339592917974644,0.991,0.995,4.35873563814198e-132
"H1FX",5.96655190805969e-136,0.732071189762114,0.974,0.889,2.01036999990163e-131
"UBE2Q1",2.25753280244798e-135,0.279237720006077,0.535,0.238,7.60653102456821e-131
"IRF2BP2",1.65195658688076e-133,0.498574729044023,0.889,0.692,5.56610252383605e-129
"RPL5",1.45196040870484e-132,0.250471714969599,0.997,0.991,4.89223540109008e-128
"TOMM7",7.24879700779809e-131,-0.432811279167386,0.976,0.957,2.44240966380749e-126
"RPL22L1",6.42474074954245e-127,0.483969762434246,0.947,0.829,2.16475214815083e-122
"HLA-B",7.3935538215244e-125,-0.349741879168019,0.994,0.993,2.49118402462443e-120
"HBD",6.60208922455613e-124,1.16472355644246,0.421,0.164,2.22450794332194e-119
"ALYREF",6.74327595779732e-123,0.387579284164064,0.716,0.482,2.27207940122023e-118
"NCL",1.32202607666678e-122,0.457946729288421,0.973,0.899,4.45443466272104e-118
"PCNP",2.57267510224245e-122,0.300289050181314,0.68,0.411,8.6683714894957e-118
"TUBB",3.99901970097521e-121,0.57849345561231,0.951,0.83,1.34742969804659e-116
"SLC25A5",3.41287771128926e-120,0.386619393613672,0.969,0.854,1.1499350160418e-115
"SYNGR1",7.39313177471813e-120,0.591238321537496,0.839,0.65,2.49104182017353e-115
"HSP90AB1",2.20569568906323e-119,0.317015382085744,0.991,0.961,7.43187105472964e-115
"CH17-373J23.1",4.47239454138936e-116,-0.643550569010097,0.264,0.484,1.50692861677573e-111
"NUCB2",1.27809439721181e-114,0.396291612936262,0.966,0.883,4.30641126196548e-110
"NHP2",8.48131578212611e-114,0.376561677032352,0.887,0.734,2.85769453962957e-109
"C1QBP",1.50408715191552e-112,0.395988599820523,0.932,0.825,5.06787124966417e-108
"TUBA1B",2.44001591868921e-112,0.570051564305381,0.982,0.911,8.22138963643141e-108
"RBM3",3.33926899641281e-112,0.326621473445452,0.977,0.895,1.12513329565133e-107
"RSBN1L",7.27651604676944e-112,-0.465331343467167,0.527,0.689,2.4517493167985e-107
"SOD1",1.24214430569279e-111,0.390530267706879,0.947,0.858,4.18528102360128e-107
"EIF4EBP1",2.51083725246139e-111,0.353949533016911,0.812,0.621,8.46001503844342e-107
"JUN",6.45970823904405e-111,-0.851156248846116,0.861,0.889,2.1765340940635e-106
"PFN1",2.32980816934399e-110,0.316476434757913,0.982,0.945,7.85005564578765e-106
"RAN",3.07497283914846e-110,0.403341156490637,0.97,0.889,1.03608134842268e-105
"KLF6",1.21732318715327e-108,-0.701466685715145,0.816,0.874,4.10164874679424e-104
"RANBP1",3.99207406799211e-106,0.429723255193437,0.884,0.753,1.34508943646926e-101
"C12orf57",6.43720140333542e-106,-0.475375764632916,0.913,0.899,2.16895064083984e-101
"RPS4Y1",1.34017325260678e-105,0.337031033985358,0.977,0.925,4.5155797573333e-101
"ATP5G1",2.6172409432301e-105,0.425279462689584,0.881,0.74,8.8185316341195e-101
"CENPV",4.27366751964858e-104,0.327659193591169,0.714,0.495,1.43996953407039e-99
"TNFSF10",7.49716358789556e-104,-0.397032479308615,0.143,0.355,2.52609429930553e-99
"PSMB3",1.8608139331578e-103,0.34696562504071,0.897,0.759,6.26982646638189e-99
"FABP5",1.16220172714125e-102,0.421478183571564,0.895,0.721,3.91592249942974e-98
"SSBP1",5.26125001364729e-102,0.322697211197073,0.925,0.804,1.77272557959832e-97
"TUBA1C",2.2037636140283e-100,0.415624469142274,0.79,0.585,7.42536112110696e-96
"IMPDH2",2.87508365096728e-100,0.352354918988179,0.945,0.813,9.68730685356914e-96
"TXN",1.25416112487485e-99,0.339429731924588,0.972,0.869,4.22577049415332e-95
"UROD",9.31503879570588e-99,0.426731392385047,0.725,0.537,3.13860917182514e-94
"GYPC",1.01605625568119e-98,0.378593235612218,0.956,0.867,3.4234999478922e-94
"C16orf54",3.03823802637476e-98,-0.398929716082462,0.268,0.481,1.02370392060671e-93
"EBNA1BP2",4.39392767444348e-98,0.335074224136161,0.729,0.528,1.48048999062699e-93
"ATP5G3",8.41942169030839e-98,0.360819007443341,0.951,0.845,2.83683994433251e-93
"EIF5A",2.67783558230545e-97,0.401982263132724,0.892,0.754,9.02269921101999e-93
"LTB",2.79946408880188e-96,-1.88002652550941,0.028,0.169,9.43251430080907e-92
"DCTPP1",3.52007934684521e-96,0.343846151010264,0.759,0.569,1.18605553512602e-91
"UQCRFS1",4.55081647018262e-96,0.300743064200916,0.884,0.733,1.53335210146333e-91
"CNBP",3.2170879294337e-95,0.306716233851742,0.956,0.854,1.08396560694339e-90
"AHCY",1.36679091873157e-93,0.312870145589297,0.77,0.569,4.60526532157416e-89
"CD3D",1.3674716728343e-93,-0.796444469529967,0,0.102,4.60755905444788e-89
"APLP2",1.64633111619134e-93,0.511585165174239,0.931,0.769,5.54714806289508e-89
"LINC00152",1.92423835078161e-93,0.370797833161697,0.666,0.434,6.48352869912356e-89
"MEST",6.52486617855131e-93,0.286364183432955,0.677,0.452,2.19848841020108e-88
"UCHL1",6.65575305633091e-93,0.384643526440664,0.491,0.276,2.24258943480014e-88
"RP11-1000B6.3",9.16827221274807e-93,-0.298592979073547,0.196,0.404,3.08915763936333e-88
"H2AFV",9.25232972792343e-93,0.340239707382577,0.929,0.813,3.11747997852652e-88
"DPPA4",1.01552609002992e-92,0.268522078629374,0.547,0.304,3.4217136077468e-88
"HNRNPAB",3.98801105931485e-92,0.403240836912167,0.874,0.723,1.34372044632555e-87
"RGS1",5.41120372692334e-92,-0.256810811789186,0.006,0.117,1.82325098374955e-87
"PGK1",2.8929390955642e-91,0.320291868319794,0.903,0.767,9.74746898859401e-87
"HINT1",3.82642299901414e-91,0.289306840128746,0.986,0.963,1.28927496528782e-86
"BLVRB",5.15531373896667e-91,0.977791307199247,0.656,0.464,1.73703141120743e-86
"NDUFC2",5.41214196041902e-91,0.307018463386449,0.911,0.785,1.82356711214359e-86
"AK2",6.6243383762898e-91,0.322528026970555,0.763,0.59,2.23200457250708e-86
"ATP5O",1.00552598569798e-90,0.299549258752676,0.958,0.856,3.38801925621077e-86
"TRAC",1.7520594365967e-90,-0.887419321939287,0.001,0.102,5.90338906566891e-86
"ARGLU1",1.92350116299157e-90,-0.504959204381432,0.839,0.862,6.48104481858379e-86
"SNRPD1",2.29399688032153e-90,0.33015680684551,0.95,0.84,7.72939308855538e-86
"FOXP1",4.2600112333735e-90,-0.504548461070725,0.695,0.77,1.43536818497287e-85
"HIST1H2BG",7.68571861056239e-90,-0.319661557317407,0.073,0.242,2.58962602864289e-85
"PPA1",1.69061931147284e-89,0.331979825030295,0.933,0.809,5.6963727080766e-85
"LRRC75A",1.85411774498783e-89,-0.685315443195908,0.606,0.674,6.24726432996199e-85
"SRRM2",5.48540915906073e-88,0.265177370625373,0.937,0.837,1.84825376205392e-83
"MEG3",1.58567323666653e-87,0.29321211402869,0.327,0.117,5.34276740362419e-83
"CFD",2.30931266518835e-87,0.66649850272578,0.395,0.17,7.78099809408562e-83
